Date,ADS.DE,AIR.DE,ALV.DE,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BNR.DE,CBK.DE,CON.DE,DB1.DE,DBK.DE,DHL.DE,DTE.DE,DTG.DE,ENR.DE,EOAN.DE,FME.DE,FRE.DE,HEN3.DE,HNR1.DE,IFX.DE,MBG.DE,MRK.DE,MTX.DE,MUV2.DE,P911.DE,PAH3.DE,QIA.DE,RHM.DE,RWE.DE,SAP.DE,SHL.DE,SIE.DE,SRT3.DE,SY1.DE,VNA.DE,VOW3.DE,WCH.DE,ZAL.DE
2017-02-14,411384,96839,926973,1220713,1207532,195546,1196841,194013,12161512,406339,69056,9651025,1983326.0,7733289,,,9158050,504354,944540,377400,111558,3093639,3445716,306278,129815,393212,,350811,364509,480348,6121365,1428333,,1472101,57875,336370,2003400,942897,84841,210583
2017-02-15,450100,77774,1123805,1819991,1423954,195857,1047116,201909,16751003,436525,73089,16075386,2028070.0,8009188,,,8495661,430312,720930,355063,110480,4589925,4017262,429277,144236,603312,,298421,413418,165949,4383424,1396309,,2359115,111485,255434,2521416,1012475,76151,227269
2017-02-16,572259,121304,1421054,1668655,1635932,281890,1230592,329047,11015419,349685,103967,7993134,2721620.0,7361569,,,8469225,459861,918032,438444,123109,5199539,3230850,600083,139837,456475,,345467,404924,164411,3761774,1456154,,2100237,76549,360032,1726351,966444,78510,209609
2017-02-17,678885,119215,3374519,1997092,2085503,727878,1300475,201438,14062412,387685,114537,16373153,2554244.0,8055998,,,9265519,810364,960869,904931,167272,4809299,4311235,539307,135078,545391,,359501,359505,273510,4284466,1834661,,2447167,82123,384630,2029649,1903272,78282,304681
2017-02-20,329148,166111,1544490,1226412,1155217,427395,852443,176189,6258968,170535,45303,6259868,1310632.0,12507363,,,7151697,447860,662174,503983,89421,2418537,2240812,241084,89637,245743,,172530,196585,187413,3319793,1143729,,1138073,49327,261055,884282,746896,95966,276625
2017-02-21,521084,191138,1814879,1715267,2293337,427239,1408494,263310,11286033,380886,73825,8810514,1947812.0,7532966,,,8934462,852850,1409733,361245,92533,4402304,4850973,406343,185374,373910,,269335,359078,209797,3491450,2016614,,3410510,48085,278710,1666556,1090331,92108,279664
2017-02-22,683490,341281,1922537,1963390,3434369,658739,1203491,257834,13767516,313076,56613,8155333,2624477.0,10205335,,,8137318,1404102,1768023,671032,119906,3522842,4464759,553833,169153,569081,,337164,467896,140915,9499356,2086913,,2605873,86004,405240,2499765,1789289,114175,385725
2017-02-23,356447,294991,1474615,1686238,2668283,396951,1199782,279075,10514042,455168,42568,8846954,2345417.0,6228761,,,6321485,613523,1042913,639812,165881,4263042,3902595,364721,228447,404962,,327115,372655,99108,5344147,1683979,,1691919,70006,313209,1403168,799955,194468,325846
2017-02-24,533288,185137,1832887,5211660,2549942,458733,1920210,368899,19729037,531810,69505,11513942,2692058.0,8992785,,,9719907,798760,1359502,689733,165015,5754600,4874549,620156,241131,629718,,553589,378790,140981,4342806,2269939,,2454838,61425,285941,1980023,1334354,205060,428171
2017-02-27,884916,87126,1050300,1940104,1421986,330625,950395,254046,7418311,221683,347544,7596475,1638012.0,6027204,,,12374970,439396,733968,422870,74071,3189770,2624666,258281,152230,262651,,519147,200361,127958,2655654,1352713,,1195320,40719,231518,1567202,1475405,90393,441756
2017-02-28,774756,82978,1436575,2199495,1824067,456522,1107265,272177,9716395,493193,119083,9987452,2381604.0,6784860,,,8110142,611700,944289,463459,105329,5700253,3561785,439453,154592,509350,,318930,726516,227625,3676329,1450047,,1735139,62651,317131,2731361,947029,82324,586647
2017-03-01,669074,187727,1680378,2446735,2431583,412000,2033028,325759,18424484,630833,123124,22858641,3087438.0,10104600,,,11900542,617274,1137191,496631,134075,5433825,5419467,513460,137923,468266,,457928,308978,333203,4796115,2297321,,2549744,150038,269055,2002426,1383270,84562,1702748
2017-03-02,654543,78304,1156221,2881313,1516264,304319,1122990,216571,13782972,596468,62362,11323873,2451002.0,12964486,,,11291216,543709,788932,373586,97219,2513061,2545585,404589,105147,358541,,305011,283750,207961,3155733,2023432,,1554399,68896,239081,1756925,811051,50896,814153
2017-03-03,609704,140815,1246267,2274339,1709985,325952,1017310,204351,25111611,497375,52887,22456295,2975949.0,9917207,,,11062627,559003,856526,466498,79108,2404618,3424541,428182,93280,449163,,267484,371584,179716,4360577,1787365,,1627422,63687,198845,2245163,951462,50868,779314
2017-03-06,612986,86389,1204346,1623964,1314076,327828,1025674,309674,14714212,384655,87509,41502435,1942049.0,7034725,,,9031030,452182,567176,404600,89340,3073623,2855622,322306,62883,428838,,396345,515017,140334,2794869,1323498,,1777660,64370,149295,1873156,687110,47827,496242
2017-03-07,650204,87690,1172721,1858203,1539962,386788,1025264,634993,8717200,399838,75720,18167110,1904436.0,5584565,,,15116696,573351,871041,348442,78113,2224514,4332051,376751,89674,391208,,331466,438241,194178,3615745,1738492,,1376317,59321,150437,2855805,682480,50326,379993
2017-03-08,3362506,80364,1431446,1421783,1655085,749843,1105107,272946,11400913,368857,124359,16977468,6794237.0,6148677,,,21653884,445977,846723,392776,156966,3419579,3269007,334640,82087,571940,,283915,376645,117490,4193046,1978133,,1771177,218216,179170,1997118,1042454,47376,413649
2017-03-09,1400718,80702,1599153,2035708,1529140,446414,4196289,361530,15969417,458680,77008,14742254,3972852.0,8593109,,,19595742,663979,910850,351195,183144,3606611,5134634,1137844,111495,492487,,617487,250228,155649,4400927,1744405,,1673817,82504,263356,1919413,1407121,85030,483112
2017-03-10,792790,86163,1735582,2565178,1818535,330742,2433446,260335,29910840,379629,84166,19573754,2984448.0,6333211,,,13326866,476498,854543,265782,116873,3598208,4545264,568859,88757,480896,,329724,333267,278263,3920398,2191734,,2036957,97985,276585,3538499,900827,81274,927987
2017-03-13,708576,102397,1079905,1626037,1447315,254290,1681567,187033,14898551,399119,59420,9459407,2700962.0,6517990,,,10148631,364576,757293,286429,144208,5334519,5215952,382944,87526,535184,,412650,230106,123501,3189501,1369409,,1561825,101376,245109,1695347,1079065,45551,337732
2017-03-14,1000932,84941,1404939,1869226,1527424,359426,2201982,411354,14695866,427686,47000,10764390,2464095.0,5992871,,,22605809,509793,726221,284406,128517,4697520,4320569,503878,119685,656798,,485597,340563,148248,18741753,1920535,,1852624,113741,420643,1724737,1654159,125643,525650
2017-03-15,751624,110021,1201693,1757622,1345045,280310,2002514,209674,13533541,680059,38851,9225063,2193088.0,4655338,,,35037024,477716,682533,276999,165462,3073450,4482287,397733,103348,947396,,576052,391264,168513,7058544,1530074,,1507682,80567,447717,1456058,2062152,92354,414094
2017-03-16,1125453,194102,1584450,3295927,2148439,388742,1804195,280396,20368611,669467,46666,14789986,4411121.0,10096966,,,19074472,890170,1039346,466162,153883,4737418,4571959,677388,116486,742006,,497646,933453,177222,5468926,2663513,,2604801,106215,468490,2638123,1401942,218423,413012
2017-03-17,895017,390348,3100677,4603731,4154262,427195,3108440,336433,28578879,663428,87574,21291766,7748643.0,15320088,,,47839725,949577,2147839,571747,277106,5425901,7343832,595760,190612,1085579,,940421,727928,165954,6323754,6288779,,6547554,145541,669132,3136084,2436334,156218,513089
2017-03-20,446196,87871,863505,1524049,1013200,266531,2016318,121339,12610212,269969,121854,53239762,2319901.0,5430025,,,14494303,415793,628691,256829,109229,2676230,2631850,215060,70812,445381,,471394,291296,137682,3158279,1779645,,1440582,86351,266968,1177767,851858,213081,331820
