Ticker,Company,MarketCap,Price,Weight,Change_1D,Change_1M,Change_1Y,Change_5Y,Volume_1D,PE_Ratio,Beta,Sector,Industry
WTW,Willis Towers Watson PLC,"26,630.96M",280.09,0.04%,-3.34%,-14.98%,-3.7%,+56%,"2,219,228",17.17,0.63,Financials,Insurance Brokers
CINF,Cincinnati Financial Corp,"25,517.23M",163.55,0.04%,+0.28%,-0.05%,+17.4%,+87%,"659,570",10.78,0.65,Financials,Property & Casualty Insurance
SYF,Synchrony Financial,"25,350.47M",72.93,0.04%,-1.31%,-8.41%,+5.3%,+140%,"6,534,841",7.85,1.40,Financials,Consumer Finance
FIS,Fidelity National Information Services Inc,"25,017.33M",48.31,0.04%,-4.43%,-27.07%,-32.2%,-53%,"4,933,282",150.26,0.91,Financials,Transaction & Payment Processing Services
KEY,KeyCorp,"24,848.10M",22.54,0.04%,-1.74%,+6.98%,+19.7%,+26%,"11,682,416",14.83,1.06,Financials,Regional Banks
CPAY,Corpay Inc,"24,248.84M",346.61,0.04%,-2.74%,+4.80%,-17.3%,+10%,"652,951",23.02,0.80,Financials,Transaction & Payment Processing Services
L,Loews Corp,"22,695.02M",110.17,0.04%,+0.19%,+5.41%,+23.6%,+134%,"644,634",15.98,0.60,Financials,Multi-line Insurance
BRO,Brown & Brown Inc,"22,518.72M",67.02,0.04%,-0.87%,-15.81%,-31.1%,+68%,"7,108,305",20.99,0.79,Financials,Insurance Brokers
TROW,T. Rowe Price Group Inc,"20,502.49M",93.79,0.03%,-2.95%,-12.21%,-9.6%,-32%,"2,292,961",10.14,1.55,Financials,Asset Management & Custody Banks
PFG,Principal Financial Group Inc,"20,389.43M",92.81,0.03%,-0.89%,+2.89%,+14.9%,+78%,"1,440,496",13.52,0.89,Financials,Life & Health Insurance
GPN,Global Payments Inc,"20,222.32M",72.22,0.03%,-1.45%,-9.36%,-36.4%,-64%,"4,448,672",11.65,0.75,Financials,Transaction & Payment Processing Services
ERIE,Erie Indemnity Co,"14,666.82M",280.49,0.02%,+0.66%,-0.64%,-29.8%,+17%,"222,062",22.62,0.37,Financials,Insurance Brokers
BEN,Franklin Resources Inc,"14,346.94M",27.55,0.02%,-2.17%,-58.73%,+34.9%,+127%,"4,895,837",25.35,1.48,Financials,Asset Management & Custody Banks
EG,Everest Group Ltd,"13,529.49M",332.42,0.02%,+0.59%,+1.23%,-4.7%,+45%,"355,677",8.78,0.33,Financials,Reinsurance
JKHY,Jack Henry & Associates Inc,"11,954.96M",165.65,0.02%,-2.91%,-12.94%,+2.9%,+13%,"1,064,837",23.78,0.71,Financials,Transaction & Payment Processing Services
IVZ,Invesco Ltd,"11,739.36M",26.44,0.02%,-3.11%,-8.07%,+41.9%,+51%,"5,952,243",-16.52,1.66,Financials,Asset Management & Custody Banks
GL,Globe Life Inc,"11,458.27M",143.93,0.02%,+1.39%,+0.74%,+14.8%,+47%,"338,431",10.18,0.46,Financials,Life & Health Insurance
AIZ,Assurant Inc,"10,817.78M",216.01,0.02%,-8.65%,-9.33%,+10.7%,+77%,"1,168,071",13.15,0.58,Financials,Multi-line Insurance
FDS,Factset Research Systems Inc,"7,188.50M",193.76,0.01%,-5.40%,-34.74%,-46.4%,-13%,"1,336,683",12.33,0.74,Financials,Financial Exchanges & Data
